date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:19	144337/144337	---M--	200	added ('OK')	application/pdf	etag:%222ea42d8-233d1-4d783540b3d7f%22	http://clinalpsud.fr/pdf/questionnaire_satisfaction_repas.pdf	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/pdf/questionnaire_satisfaction_repas.pdf	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:19	168286/168286	---M--	200	added ('OK')	application/pdf	etag:%222ea4263-2915e-4d78353838e6f%22	http://clinalpsud.fr/pdf/questionnaire_satisfaction_hospi.pdf	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/pdf/questionnaire_satisfaction_hospi.pdf	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:20	736/736	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/equipe-medicale/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/equipe-medicale/feed/index.html	(from http://clinalpsud.fr/equipe-medicale/)
09:40:21	86597/86597	---M--	200	added ('OK')	image/jpeg	etag:%227430b-15245-4d926088cff57%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_reanimation.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_reanimation.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:22	11989/11989	---M--	200	added ('OK')	image/jpeg	etag:%2274caf-2ed5-4d92611af2995%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_esthetique.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_esthetique.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:23	29020/29020	---M--	200	added ('OK')	image/jpeg	etag:%2274606-715c-4d9260c07ed29%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_angiologie.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_angiologie.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:25	15726/15726	---M--	200	added ('OK')	image/jpeg	etag:%222e270c1-3d6e-4d9261681b870%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_visceral.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_visceral.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:26	31474/31474	---M--	200	added ('OK')	image/jpeg	etag:%22fccf62-7af2-4d972bc09e2e8%22	http://clinalpsud.fr/wp-content/uploads/2012/12/1_equipe_vasculaire.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/1_equipe_vasculaire.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:31	70577/70577	---M--	200	added ('OK')	image/jpeg	etag:%22749f3-113b1-4d9260f86b222%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_cardiologie.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_cardiologie.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:31	27575/27575	---M--	200	added ('OK')	image/jpeg	etag:%222e27b50-6bb7-4d92625b16dec%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_oph_2.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_oph_2.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:31	33811/33811	---M--	200	added ('OK')	image/jpeg	etag:%222e27959-8413-4d92622bb3087%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_ophtalmo.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_ophtalmo.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:32	62440/62440	---M--	200	added ('OK')	image/jpeg	etag:%222e272a5-f3e8-4d92618fa9817%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_endoscopie.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_endoscopie.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:34	16275/16275	---M--	200	added ('OK')	image/jpeg	etag:%222e28895-3f93-4d92639c6ab63%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_orl_apap.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_orl_apap.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:37	15697/15697	---M--	200	added ('OK')	image/jpeg	etag:%221591da2-3d51-4d0bcc42af5fb%22	http://clinalpsud.fr/wp-content/uploads/2012/12/img_pl_tech-300x172.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/img_pl_tech-300x172.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:38	743/743	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/plateau-technique/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/plateau-technique/feed/index.html	(from http://clinalpsud.fr/plateau-technique/)
09:40:39	45883/45883	---M--	200	added ('OK')	image/jpeg	etag:%222e282b7-b33b-4d926305938fa%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_urologie.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_urologie.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:40	58002/58002	---M--	200	added ('OK')	image/jpeg	etag:%222e2812a-e292-4d9262dff2dd9%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_orl_lazure.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_orl_lazure.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:41	745/745	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/plateau-technique/congres/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/plateau-technique/congres/feed/index.html	(from http://clinalpsud.fr/plateau-technique/congres/)
09:40:42	16163/16163	---M--	200	added ('OK')	image/jpeg	etag:%22142920f-3f23-4d0b7e62bf766%22	http://clinalpsud.fr/wp-content/uploads/2012/12/urologie-300x192.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/urologie-300x192.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:42	79500/79500	---M--	200	added ('OK')	image/jpeg	etag:%222e27dba-1368c-4d92628ef7734%22	http://clinalpsud.fr/wp-content/uploads/2012/12/equipe_ortho.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/equipe_ortho.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
